epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3247.54,0.5521,0.43142,0.94258,0.66623,0.64118,0.69124,0.62769,0.45366,0.81805,0.911,0.005842,0.005842,0.005842
44,3322.66,0.55033,0.43182,0.94405,0.61996,0.64822,0.69279,0.62234,0.46082,0.83538,0.91903,0.005743,0.005743,0.005743
45,3398.28,0.54579,0.42164,0.93978,0.5967,0.68435,0.71764,0.64346,0.45838,0.81775,0.91453,0.005644,0.005644,0.005644
46,3473.71,0.54425,0.41573,0.93972,0.72466,0.62133,0.72007,0.64679,0.46906,0.83934,0.92251,0.005545,0.005545,0.005545
47,3549,0.54025,0.4192,0.93942,0.68498,0.62717,0.70694,0.63583,0.48021,0.83597,0.93848,0.005446,0.005446,0.005446
48,3624.38,0.53049,0.40742,0.9364,0.70998,0.6091,0.69832,0.61984,0.4875,0.82455,0.9455,0.005347,0.005347,0.005347
49,3699.57,0.52851,0.40207,0.93461,0.72897,0.60907,0.70509,0.63393,0.47118,0.82201,0.94917,0.005248,0.005248,0.005248
50,3774.97,0.52565,0.40088,0.93408,0.73524,0.58241,0.70376,0.63101,0.46751,0.8259,0.94475,0.005149,0.005149,0.005149
51,3850.32,0.52222,0.39332,0.93315,0.66978,0.60499,0.70167,0.62963,0.46933,0.83437,0.94823,0.00505,0.00505,0.00505
52,3925.34,0.51878,0.39243,0.932,0.65136,0.64231,0.7123,0.64132,0.45947,0.82445,0.94046,0.004951,0.004951,0.004951
53,4000.72,0.51133,0.38281,0.9282,0.65345,0.6331,0.69507,0.6275,0.46011,0.83374,0.93723,0.004852,0.004852,0.004852
54,4075.72,0.50646,0.38108,0.92825,0.72667,0.57795,0.69739,0.62887,0.46206,0.84385,0.93691,0.004753,0.004753,0.004753
55,4151.3,0.50343,0.37491,0.92754,0.77731,0.55671,0.70551,0.62684,0.46799,0.85953,0.93898,0.004654,0.004654,0.004654
56,4226.39,0.50188,0.37188,0.9266,0.68409,0.60299,0.70623,0.61994,0.46922,0.85534,0.9412,0.004555,0.004555,0.004555
57,4301.92,0.49547,0.36861,0.92618,0.63294,0.63355,0.70506,0.6209,0.47894,0.85206,0.94951,0.004456,0.004456,0.004456
58,4377.32,0.49044,0.36605,0.92256,0.73288,0.58619,0.71893,0.63634,0.46717,0.83506,0.93867,0.004357,0.004357,0.004357
